dia,mp10_0,mp25_0,nox_0,o3_0,i1
2019-10-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-10-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-10-25,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-10-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-10-27,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-10-28,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-10-29,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-10-30,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,MEDIA
2019-10-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-11-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-03,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-11-04,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-11-05,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2019-11-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-11-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-11-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-21,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2019-11-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-11-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-11-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-11-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-11-26,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2019-11-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-11-30,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-12-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-12-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-12-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-12-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-12-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-12-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-08,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2019-12-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2019-12-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2019-12-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-12-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-12-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-12-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2019-12-26,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2019-12-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2019-12-28,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-12-29,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-12-30,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2019-12-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-01-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-01-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-01-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-01-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-15,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2020-01-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-26,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2020-01-27,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,BAIXA
2020-01-28,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2020-01-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-01-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-02-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-02-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-02-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-02-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-02-17,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-ALTA
2020-02-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-02-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-02-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-02-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-02-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-02-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-02-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-02-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-09,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2020-03-10,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2020-03-11,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2020-03-12,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,ALTA
2020-03-13,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2020-03-14,N1 - Boa,N1 - Boa,N1 - Boa,N3 - Ruim,ALTA
2020-03-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-18,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,ALTA
2020-03-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-ALTA
2020-03-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-03-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,ALTA
2020-03-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-04-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-04-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-06,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA
2020-04-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-13,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-04-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-04-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-25,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,BAIXA
2020-04-26,N1 - Boa,N1 - Boa,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2020-04-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-04-30,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-01,N2 - Moderada,N2 - Moderada,N1 - Boa,N2 - Moderada,MEDIA-BAIXA
2020-05-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-13,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-05-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-05-21,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-05-22,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-24,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-05-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-05-29,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-05-30,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-05-31,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-06-01,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2020-06-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-12,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-13,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,BAIXA
2020-06-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-17,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-06-18,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-19,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,BAIXA
2020-06-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-21,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-06-22,N2 - Moderada,N2 - Moderada,N2 - Moderada,N1 - Boa,BAIXA
2020-06-23,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-24,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,BAIXA
2020-06-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-27,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-28,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-06-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-08,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-09,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-10,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-11,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-12,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-13,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA
2020-07-14,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-15,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-16,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-17,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-18,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-07-19,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-20,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-21,N2 - Moderada,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2020-07-22,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA
2020-07-23,N2 - Moderada,N2 - Moderada,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-24,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-25,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-26,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-27,N1 - Boa,N1 - Boa,N2 - Moderada,N1 - Boa,MEDIA-BAIXA
2020-07-28,N2 - Moderada,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-29,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-07-30,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-07-31,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-01,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-02,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-03,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-08-04,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-05,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-06,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,BAIXA
2020-08-07,N1 - Boa,N1 - Boa,N1 - Boa,N1 - Boa,MEDIA-BAIXA
2020-08-08,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
2020-08-09,N1 - Boa,N2 - Moderada,N1 - Boa,N1 - Boa,BAIXA
